Variant,MatrixSize,Time_ms,GFLOPs,MaxAbsError
0,256,0.125376,267.63,0.0000228882
1,256,0.072544,462.539,76.4609
2,256,0.05968,562.239,76.4609
0,512,0.271584,988.407,0.0000457764
1,512,0.039104,6864.65,145.844
2,512,0.056384,4760.84,145.844
0,1024,2.09213,1026.46,0.0000915527
1,1024,0.073728,29127.1,285.458
2,1024,0.05584,38457.8,285.458
0,2048,16.4813,1042.38,0.000244141
1,2048,0.224768,76433.8,558.718
2,2048,0.276992,62023,558.718
0,4096,131.687,1043.68,0.000488281
1,4096,0.910368,150971,1088.38
2,4096,0.911008,150865,1088.38
